winery,name,country,region,winetype,grape,rate,price,price_f,topic1,topic2,bold,tannic,sweet,acidic,link,img,full_name,wine_id
Freemark Abbey,Bosche Vineyard Cabernet Sauvignon 2004,미국,Rutherford,Red wine,Cabernet Sauvignon,4.7,"₩400,000",400000.0,oaky,black fruit,1.0,0.628141436679041,0.10163599344018127,0.5671341157588524,https://www.vivino.com/freemark-abbey-bosche-vineyard-cabernet-sauvignon/w/1679343?year=2004&price_id=23467416,https://images.vivino.com/thumbs/KWCVv7ILTNeTDO91bLawkg_pb_x600.png,Freemark Abbey/Bosché Vineyard Cabernet Sauvignon 2004,364
Stonyridge Vineyard,Larose Red Blend 2019,뉴질랜드,Waiheke Island,Red wine,Blend,4.7,"₩287,922",287922.0,black fruit,oaky,0.7693884646551084,0.6994153718733005,0.13546025684700885,0.7069100879392783,https://www.vivino.com/stonyridge-vineyard-larose-red-blend/w/1631901?year=2019&price_id=24178192,https://images.vivino.com/thumbs/zvZMN1UGTtyNk_LC4p9zPA_pb_x600.png,Stonyridge Vineyard/Larose Red Blend 2019,764
Destiny Bay Vineyards,Mystae 2008,뉴질랜드,Waiheke Island,Red wine,Blend,4.7,"₩329,063",329063.0,black fruit,oaky,0.7263438111074025,0.6022612891293357,0.4426530822433313,0.6105286387802187,https://www.vivino.com/destiny-bay-vineyards-mystae/w/1395058?year=2008&price_id=3604871,https://images.vivino.com/thumbs/DFFw9bOcQdKa5spqTNQoBg_150x200.jpg,Destiny Bay Vineyards/Mystae 2008,293
Chimney Rock,Elevage 2000,미국,Stags Leap District,Red wine,Cabernet Sauvignon,4.7,"₩360,000",360000.0,oaky,black fruit,0.997080946688955,0.6112392436235448,0.1008892990976288,0.6931781857090313,https://www.vivino.com/chimney-rock-winery-elevage/w/836?year=2000&price_id=25130646,https://images.vivino.com/thumbs/NlbQmg7IRIya0f46mh0WzQ_pb_x600.png,Chimney Rock/Elevage 2000,174
Tenuta San Guido,Sassicaia 2017,이탈리아,Bolgheri Sassicaia,Red wine,Cabernet Sauvignon,4.6,"₩465,514",465514.0,oaky,black fruit,0.7094441619123492,0.7826500882026554,0.19850779968785406,0.5937967699869595,https://www.vivino.com/tenuta-san-guido-sassicaia/w/5078?year=2017&price_id=29936539,https://images.vivino.com/thumbs/L2ZTpFlDR2yMHe1-GA90Jw_pb_x600.png,Tenuta San Guido/Sassicaia 2017,790
Ornellaia,Bolgheri Superiore 2012,이탈리아,Bolgheri Superiore,Red wine,Blend,4.6,"₩382,181",382181.0,oaky,black fruit,0.7406342718359543,0.792109951941711,0.2461278847753579,0.5859725147958671,https://www.vivino.com/ornellaia-bolgheri-superiore/w/22447?year=2012&price_id=26471364,https://images.vivino.com/thumbs/Unx9_x0PRI2NyaC5mqQtHQ_pb_x600.png,Ornellaia/Bolgheri Superiore 2012,613
Antinori,Tenuta Guado al Tasso Bolgheri Superiore 2016,이탈리아,Bolgheri Superiore,Red wine,Blend,4.6,"₩400,000",400000.0,oaky,black fruit,0.7578614924380963,0.7834650601060198,0.1980621598282405,0.5709887317350454,https://www.vivino.com/antinori-tuscany-tenuta-guado-al-tasso-bolgheri-superiore/w/1658?year=2016&price_id=21493489,https://images.vivino.com/thumbs/pIvw9lKgRgKX1Yz8xhqNJg_pb_x600.png,Antinori/Tenuta Guado al Tasso Bolgheri Superiore 2016,43
Tenuta San Guido,Sassicaia 2018,이탈리아,Bolgheri Sassicaia,Red wine,Cabernet Sauvignon,4.6,"₩478,815",478815.0,oaky,black fruit,0.7094441619123492,0.7826500882026554,0.19850779968785406,0.5937967699869595,https://www.vivino.com/tenuta-san-guido-sassicaia/w/5078?year=2018&price_id=29936559,https://images.vivino.com/thumbs/L2ZTpFlDR2yMHe1-GA90Jw_pb_x600.png,Tenuta San Guido/Sassicaia 2018,791
Silver Oak,Napa Valley Cabernet Sauvignon 2016,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.6,"₩329,312",329312.0,oaky,black fruit,1.0,0.5525008437096105,0.10834495298004326,0.5578319456983314,https://www.vivino.com/silver-oak-napa-valley-cabernet-sauvignon/w/3069?year=2016&price_id=26506347,https://images.vivino.com/thumbs/DdtkVKDbQHCs2732RLpW5A_pb_x600.png,Silver Oak/Napa Valley Cabernet Sauvignon 2016,740
Sena,Aconcagua Valley 2007,칠레,Aconcagua Valley,Red wine,Cabernet Franc,4.6,"₩800,000",800000.0,oaky,black fruit,0.9517154686933429,0.6662137407505109,0.29709323974236074,0.47391714314374556,https://www.vivino.com/sena-aconcagua-valley/w/25474?year=2007&price_id=14541463,https://images.vivino.com/thumbs/DU7ypIztQEiTxv2nWmSUFw_pb_x600.png,Sena/Aconcagua Valley 2007,737
Casa Silva,Altura 2008,칠레,Colchagua Valley,Red wine,Carménère,4.6,"₩230,474",230474.0,oaky,black fruit,0.8867374431698389,0.6248594431369195,0.21737123978989567,0.4615187079947838,https://www.vivino.com/casa-silva-altura/w/18323?year=2008&price_id=3680215,https://images.vivino.com/thumbs/WXLuZ4cVQ7ur7p0slQWdRw_pb_x600.png,Casa Silva/Altura 2008,136
Biserno,Bibbona 2018,이탈리아,Toscana,Red wine,Merlot,4.6,"₩212,799",212799.0,oaky,black fruit,0.643077435983504,0.4703950034706307,0.22550367207244323,0.4632467315344233,https://www.vivino.com/tenuta-campo-di-sasso-bibbona/w/1186753?year=2018&price_id=29936564,https://images.vivino.com/thumbs/nLWRMTRbRzm7OvUCzvzYlQ_pb_x600.png,Biserno/Bibbona 2018,98
Podere le Ripi,Lupi e Sirene Riserva 2015,이탈리아,Brunello di Montalcino,Red wine,Sangiovese,4.6,"₩350,000",350000.0,earthy,oaky,0.5619206713114352,0.7079615238942981,0.19230924633386942,0.7047219714448123,https://www.vivino.com/podere-le-ripi-lupi-e-sirene-riserva/w/2307317?year=2015&price_id=29630061,https://images.vivino.com/thumbs/6hExzNCfRYWpymTgP2kwFQ_pb_x600.png,Podere le Ripi/Lupi e Sirene Riserva 2015,664
Sena,Aconcagua Valley 2003,칠레,Aconcagua Valley,Red wine,Blend,4.6,"₩800,000",800000.0,oaky,black fruit,0.9517154686933429,0.6662137407505109,0.29709323974236074,0.47391714314374556,https://www.vivino.com/sena-aconcagua-valley/w/25474?year=2003&price_id=2895098,https://images.vivino.com/thumbs/DU7ypIztQEiTxv2nWmSUFw_pb_x600.png,Sena/Aconcagua Valley 2003,736
Santa Carolina,Luis Pereira 2012,칠레,Central Valley,Red wine,Cabernet Sauvignon,4.6,"₩212,745",212745.0,oaky,spices,0.800053701474691,0.2929227132522094,0.2376745917938886,0.2951910923863978,https://www.vivino.com/santa-carolina-luis-pereira-central-valley-red-wine/w/5197411?year=2012&price_id=9865746,https://images.vivino.com/thumbs/0zxhNJzIRcKk_HHjGhsX0w_pb_x600.png,Santa Carolina/Luis Pereira 2012,732
Muga,Torre Muga 2000,스페인,Rioja,Red wine,Tempranillo,4.6,"₩119,669",119669.0,oaky,black fruit,0.7596966511704734,0.7983836144961837,0.222297045704824,0.692973551342495,https://www.vivino.com/muga-torre-muga/w/7494?year=2000&price_id=2754321,https://images.vivino.com/thumbs/GpOndsWVRFeNzWTfI8LucA_pb_x600.png,Muga/Torre Muga 2000,597
Muga,Aro 2001,스페인,Rioja,Red wine,Tempranillo,4.6,"₩243,771",243771.0,oaky,black fruit,0.7824394660054866,0.79625849788741,0.2521014395157776,0.7024014444778813,https://www.vivino.com/muga-aro/w/7495?year=2001&price_id=16860341,https://images.vivino.com/thumbs/oZqEuRdwTkKhinhOwjxSjw_pb_x600.png,Muga/Aro 2001,594
Chimney Rock,Cabernet Sauvignon 2002,미국,Stags Leap District,Red wine,Cabernet Sauvignon,4.6,"₩360,000",360000.0,oaky,black fruit,1.0,0.5727867175790765,0.07617213186186353,0.5656321262580667,https://www.vivino.com/chimney-rock-winery-cabernet-sauvignon/w/835?year=2002&price_id=25130668,https://images.vivino.com/thumbs/x9gLcGMXRTOwjoPHoSldGw_pb_x600.png,Chimney Rock/Cabernet Sauvignon 2002,157
Yangarra,Ironheart Shiraz 2017,호주,McLaren Vale,Red wine,Shiraz/Syrah,4.6,"₩300,000",300000.0,oaky,black fruit,0.9985607094159579,0.5263554250159531,0.45872186527019637,0.4419968569231283,https://www.vivino.com/yangarra-estate-vineyard-ironheart-shiraz/w/1542349?year=2017&price_id=23466122,https://images.vivino.com/thumbs/JzJc3sG8QKmwfJE8zFu3kA_pb_x600.png,Yangarra/Ironheart Shiraz 2017,833
Stella di Campalto,Brunello di Montalcino 2013,이탈리아,Brunello di Montalcino,Red wine,Sangiovese,4.6,"₩360,000",360000.0,red fruit,oaky,0.4664038844151009,0.6534394614406286,0.12311563661139412,0.702560604540743,https://www.vivino.com/stella-di-campalto-brunello-di-montalcino/w/1166466?year=2013&price_id=21493486,https://images.vivino.com/thumbs/l6eyLH3LT6GB8VztfQyDBw_pb_x600.png,Stella di Campalto/Brunello di Montalcino 2013,752
Freemark Abbey,Bosche Vineyard Cabernet Sauvignon 2006,미국,Rutherford,Red wine,Cabernet Sauvignon,4.6,"₩400,000",400000.0,oaky,black fruit,1.0,0.628141436679041,0.10163599344018127,0.5671341157588524,https://www.vivino.com/freemark-abbey-bosche-vineyard-cabernet-sauvignon/w/1679343?year=2006&price_id=23467418,https://images.vivino.com/thumbs/KWCVv7ILTNeTDO91bLawkg_pb_x600.png,Freemark Abbey/Bosché Vineyard Cabernet Sauvignon 2006,366
Chimney Rock,Cabernet Sauvignon 2015,미국,Stags Leap District,Red wine,Cabernet Sauvignon,4.5,"₩360,000",360000.0,oaky,black fruit,1.0,0.5727867175790765,0.07617213186186353,0.5656321262580667,https://www.vivino.com/chimney-rock-winery-cabernet-sauvignon/w/835?year=2015&price_id=25130681,https://images.vivino.com/thumbs/x9gLcGMXRTOwjoPHoSldGw_pb_x600.png,Chimney Rock/Cabernet Sauvignon 2015,170
Clos Mogador,Priorat 2017,스페인,Priorat,Red wine,Blend,4.5,"₩450,000",450000.0,oaky,black fruit,0.9823971473210034,0.5855654180746914,0.2892757262939401,0.5770782759888988,https://www.vivino.com/clos-mogador-priorat-priorat/w/2162093?year=2017&price_id=23466014,https://images.vivino.com/thumbs/7-Edbn7NTT6Rpe-GOrwrdw_pb_x600.png,Clos Mogador/Priorat 2017,262
Groth,Cabernet Sauvignon Reserve 2016,미국,Oakville,Red wine,Cabernet Sauvignon,4.5,"₩274,796",274796.0,oaky,black fruit,0.9845168758085734,0.5855889977319316,0.13727351592023643,0.5518694619988631,https://www.vivino.com/groth-cabernet-sauvignon-reserve/w/10007?year=2016&price_id=25002068,https://images.vivino.com/thumbs/AJmDHC_RQK24PNMuRTPYKQ_pb_x600.png,Groth/Cabernet Sauvignon Reserve 2016,409
Glaetzer,Amon-Ra Shiraz 2005,호주,Barossa Valley,Red wine,Shiraz/Syrah,4.5,"₩155,127",155127.0,black fruit,oaky,1.0,0.5616438558045009,0.4898631786599907,0.45836493128698974,https://www.vivino.com/glaetzer-amon-ra-shiraz/w/1160689?year=2005&price_id=2754232,https://images.vivino.com/thumbs/ebUX9bvyR7GHnGIsWV27Qw_pb_x600.png,Glaetzer/Amon-Ra Shiraz 2005,395
Chateau Lynch-Bages,Pauillac (Grand Cru Classe) 2016,프랑스,Pauillac,Red wine,Petit Verdot,4.5,"₩246,051",246051.0,oaky,black fruit,0.8416565349294197,0.9124192580955593,0.16396120358413283,0.8263229344300665,https://www.vivino.com/chateau-lynch-bages-pauillac-grand-cru-classe/w/79262?year=2016&price_id=29936568,https://images.vivino.com/thumbs/1YXUHwcmS7i4jvfW2oOJJA_pb_x600.png,Château Lynch-Bages/Pauillac (Grand Cru Classé) 2016,229
Montes,Folly Syrah 2005,칠레,Colchagua Valley,Red wine,Shiraz/Syrah,4.5,"₩141,830",141830.0,black fruit,oaky,1.0,0.4548825364637292,0.3028291198909866,0.2025438860467449,https://www.vivino.com/montes-folly-syrah/w/71264?year=2005&price_id=2754503,https://images.vivino.com/thumbs/qDdzS6RwRDqapnrUHxh0GQ_pb_x600.png,Montes/Folly Syrah 2005,587
Clos Mogador,Priorat 2018,스페인,Priorat,Red wine,Garnacha,4.5,"₩450,000",450000.0,oaky,black fruit,0.9823971473210034,0.5855654180746914,0.2892757262939401,0.5770782759888988,https://www.vivino.com/clos-mogador-priorat-priorat/w/2162093?year=2018&price_id=23466012,https://images.vivino.com/thumbs/7-Edbn7NTT6Rpe-GOrwrdw_pb_x600.png,Clos Mogador/Priorat 2018,263
Stag's Leap Wine Cellars,FAY Cabernet Sauvignon 2006,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.5,"₩239,339",239339.0,oaky,black fruit,0.9747049106495234,0.5433121460288172,0.15778859637308573,0.5422195472631826,https://www.vivino.com/stag-s-leap-wine-cellars-fay-cabernet-sauvignon/w/1107322?year=2006&price_id=10250499,https://images.vivino.com/thumbs/UXA7vdcqTsaiGAofHjGMtw_pb_x600.png,Stag's Leap Wine Cellars/FAY Cabernet Sauvignon 2006,747
Beaulieu Vineyard (BV),Georges De Latour Private Reserve Cabernet Sauvignon 2017,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.5,"₩400,000",400000.0,oaky,black fruit,0.9901741225418075,0.5777914998283105,0.15793516237135863,0.5318821680543017,https://www.vivino.com/beaulieu-vineyard-georges-de-latour-private-reserve-cabernet-sauvignon/w/1138019?year=2017&price_id=21493480,https://images.vivino.com/thumbs/tkJoT7AZQSu9yVA9cahzow_pb_x600.png,Beaulieu Vineyard (BV)/Georges De Latour Private Reserve Cabernet Sauvignon 2017,76
Emilio Moro,Malleolus de Valderramiro 2008,스페인,Ribera del Duero,Red wine,Tempranillo,4.5,"₩268,148",268148.0,oaky,black fruit,0.7723441958457116,0.6785208481013216,0.2782832764234727,0.6676269769619152,https://www.vivino.com/emilio-moro-malleolus-de-valderramiro/w/11605?year=2008&price_id=5109474,https://images.vivino.com/thumbs/OVnpuoGgSYOZBo_k4bJRtw_pb_x600.png,Emilio Moro/Malleolus de Valderramiro 2008,337
Freemark Abbey,Sycamore Vineyard Cabernet Sauvignon 2014,미국,Rutherford,Red wine,Cabernet Sauvignon,4.5,"₩400,000",400000.0,oaky,black fruit,1.0,0.616382556359065,0.13300329575433956,0.560068211455512,https://www.vivino.com/freemark-abbey-sycamore-vineyard-cabernet-sauvignon/w/11299?year=2014&price_id=23467435,https://images.vivino.com/thumbs/D6S-l4mIQyyAh-beKCGOxw_pb_x600.png,Freemark Abbey/Sycamore Vineyard Cabernet Sauvignon 2014,383
Freemark Abbey,Bosche Vineyard Cabernet Sauvignon 2013,미국,Rutherford,Red wine,Cabernet Sauvignon,4.5,"₩400,000",400000.0,oaky,black fruit,1.0,0.628141436679041,0.10163599344018127,0.5671341157588524,https://www.vivino.com/freemark-abbey-bosche-vineyard-cabernet-sauvignon/w/1679343?year=2013&price_id=23467425,https://images.vivino.com/thumbs/KWCVv7ILTNeTDO91bLawkg_pb_x600.png,Freemark Abbey/Bosché Vineyard Cabernet Sauvignon 2013,372
Freemark Abbey,Bosche Vineyard Cabernet Sauvignon 2014,미국,Rutherford,Red wine,Cabernet Sauvignon,4.5,"₩400,000",400000.0,oaky,black fruit,1.0,0.628141436679041,0.10163599344018127,0.5671341157588524,https://www.vivino.com/freemark-abbey-bosche-vineyard-cabernet-sauvignon/w/1679343?year=2014&price_id=21493482,https://images.vivino.com/thumbs/KWCVv7ILTNeTDO91bLawkg_pb_x600.png,Freemark Abbey/Bosché Vineyard Cabernet Sauvignon 2014,373
Luca,Nico Malbec 2010,아르헨티나,Mendoza,Red wine,Malbec,4.5,"₩199,449",199449.0,oaky,black fruit,0.8096607764100021,0.4597797365268048,0.39665314562322246,0.36455946768315106,https://www.vivino.com/luca-nico-malbec/w/1240855?year=2010&price_id=14650476,https://images.vivino.com/thumbs/ab4IdrzgT8WzOz546FYHhw_pb_x600.png,Luca/Nico Malbec 2010,497
Stag's Leap Wine Cellars,CASK 23 Cabernet Sauvignon 2006,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.5,"₩438,788",438788.0,oaky,black fruit,0.9871918315073862,0.5727867175790765,0.15711538309182954,0.5511097736315913,https://www.vivino.com/stag-s-leap-wine-cellars-cask-23-cabernet-sauvignon/w/2653222?year=2006&price_id=2873687,https://images.vivino.com/thumbs/5yGxQXBzSHGXHxtXm74rug_pb_x600.png,Stag's Leap Wine Cellars/CASK 23 Cabernet Sauvignon 2006,746
Podere le Ripi,Lupi e Sirene Riserva 2008,이탈리아,Brunello di Montalcino,Red wine,Sangiovese,4.5,"₩350,000",350000.0,earthy,oaky,0.5619206713114352,0.7079615238942981,0.19230924633386942,0.7047219714448123,https://www.vivino.com/podere-le-ripi-lupi-e-sirene-riserva/w/2307317?year=2008&price_id=29630055,https://images.vivino.com/thumbs/6hExzNCfRYWpymTgP2kwFQ_pb_x600.png,Podere le Ripi/Lupi e Sirene Riserva 2008,658
Muga,Prado Enea Gran Reserva 1998,스페인,Rioja,Red wine,Tempranillo,4.5,"₩84,212",84212.0,oaky,earthy,0.7344015618199968,0.7484315843613817,0.19508231463362463,0.6937506269435249,https://www.vivino.com/muga-prado-enea-gran-reserva/w/1126125?year=1998&price_id=2894972,https://images.vivino.com/thumbs/K1sV2MOLTfyVJxpmraJwTA_pb_x600.png,Muga/Prado Enea Gran Reserva 1998,595
Podere le Ripi,Lupi e Sirene Riserva 2011,이탈리아,Brunello di Montalcino,Red wine,Sangiovese,4.5,"₩350,000",350000.0,earthy,oaky,0.5619206713114352,0.7079615238942981,0.19230924633386942,0.7047219714448123,https://www.vivino.com/podere-le-ripi-lupi-e-sirene-riserva/w/2307317?year=2011&price_id=29630058,https://images.vivino.com/thumbs/6hExzNCfRYWpymTgP2kwFQ_pb_x600.png,Podere le Ripi/Lupi e Sirene Riserva 2011,661
Freemark Abbey,Bosche Vineyard Cabernet Sauvignon 2005,미국,Rutherford,Red wine,Cabernet Sauvignon,4.5,"₩400,000",400000.0,oaky,black fruit,1.0,0.628141436679041,0.10163599344018127,0.5671341157588524,https://www.vivino.com/freemark-abbey-bosche-vineyard-cabernet-sauvignon/w/1679343?year=2005&price_id=23467417,https://images.vivino.com/thumbs/KWCVv7ILTNeTDO91bLawkg_pb_x600.png,Freemark Abbey/Bosché Vineyard Cabernet Sauvignon 2005,365
Podere le Ripi,Lupi e Sirene Riserva 2010,이탈리아,Brunello di Montalcino,Red wine,Sangiovese,4.5,"₩350,000",350000.0,earthy,oaky,0.5619206713114352,0.7079615238942981,0.19230924633386942,0.7047219714448123,https://www.vivino.com/podere-le-ripi-lupi-e-sirene-riserva/w/2307317?year=2010&price_id=29630057,https://images.vivino.com/thumbs/6hExzNCfRYWpymTgP2kwFQ_pb_x600.png,Podere le Ripi/Lupi e Sirene Riserva 2010,660
Merryvale,Profile 2001,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.5,"₩190,584",190584.0,oaky,black fruit,1.0,0.6252706134100458,0.19639586287760552,0.7059604774801885,https://www.vivino.com/merryvale-vineyards-profile/w/1128691?year=2001&price_id=2754398,https://images.vivino.com/thumbs/FVFZY9ShSzOMf7M3Re5neA_pb_x600.png,Merryvale/Profile 2001,574
Amici,Reserve Cabernet Sauvignon 2016,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.5,"₩300,000",300000.0,oaky,black fruit,1.0,0.6081768356394729,0.2548426198078005,0.5390416959240312,https://www.vivino.com/amici-cellars-reserve-cabernet-sauvignon/w/1867171?year=2016&price_id=25130592,https://images.vivino.com/thumbs/lzTAXi6YQMyjhphltGYEwQ_pb_x600.png,Amici/Reserve Cabernet Sauvignon 2016,32
Podere le Ripi,Lupi e Sirene Riserva 2016,이탈리아,Brunello di Montalcino,Red wine,Sangiovese,4.5,"₩350,000",350000.0,earthy,oaky,0.5619206713114352,0.7079615238942981,0.19230924633386942,0.7047219714448123,https://www.vivino.com/podere-le-ripi-lupi-e-sirene-riserva/w/2307317?year=2016&price_id=29630062,https://images.vivino.com/thumbs/6hExzNCfRYWpymTgP2kwFQ_pb_x600.png,Podere le Ripi/Lupi e Sirene Riserva 2016,665
Freemark Abbey,Sycamore Vineyard Cabernet Sauvignon 2017,미국,Rutherford,Red wine,Cabernet Sauvignon,4.5,"₩400,000",400000.0,oaky,black fruit,1.0,0.616382556359065,0.13300329575433956,0.560068211455512,https://www.vivino.com/freemark-abbey-sycamore-vineyard-cabernet-sauvignon/w/11299?year=2017&price_id=23467426,https://images.vivino.com/thumbs/D6S-l4mIQyyAh-beKCGOxw_pb_x600.png,Freemark Abbey/Sycamore Vineyard Cabernet Sauvignon 2017,386
Buoncristiani,Cabernet Sauvignon 2016,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.5,"₩280,000",280000.0,black fruit,oaky,1.0,0.7021402960131219,0.11709137795805837,0.614292306149062,https://www.vivino.com/buoncristiani-family-winery-cabernet-sauvignon/w/14898?year=2016&price_id=26901946,https://images.vivino.com/thumbs/aoWXMH7QQMmVgzCgsLCkaQ_pb_x600.png,Buoncristiani/Cabernet Sauvignon 2016,113
Buoncristiani,Cabernet Sauvignon 2014,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.5,"₩280,000",280000.0,black fruit,oaky,1.0,0.7021402960131219,0.11709137795805837,0.614292306149062,https://www.vivino.com/buoncristiani-family-winery-cabernet-sauvignon/w/14898?year=2014&price_id=26901944,https://images.vivino.com/thumbs/aoWXMH7QQMmVgzCgsLCkaQ_pb_x600.png,Buoncristiani/Cabernet Sauvignon 2014,111
Stonyridge Vineyard,Larose Red Blend 2013,뉴질랜드,Waiheke Island,Red wine,Blend,4.5,"₩411,321",411321.0,black fruit,oaky,0.7693884646551084,0.6994153718733005,0.13546025684700885,0.7069100879392783,https://www.vivino.com/stonyridge-vineyard-larose-red-blend/w/1631901?year=2013&price_id=18747866,https://images.vivino.com/thumbs/zvZMN1UGTtyNk_LC4p9zPA_pb_x600.png,Stonyridge Vineyard/Larose Red Blend 2013,759
Hardys,Eileen Hardy Shiraz 2000,호주,McLaren Vale,Red wine,Shiraz/Syrah,4.5,"₩250,000",250000.0,oaky,black fruit,0.9909203276776464,0.5137064126351593,0.354850146169874,0.41968234861403686,https://www.vivino.com/hardys-eileen-hardy-shiraz/w/27514?year=2000&price_id=24542758,https://images.vivino.com/thumbs/DAIhNnvvRgmCSJ8vVOKtGA_pb_x600.png,Hardys/Eileen Hardy Shiraz 2000,412
Domaine des Bosquets,Gigondas La Colline 2018,프랑스,Gigondas,Red wine,Grenache,4.5,"₩99,756",99756.0,red fruit,black fruit,0.7976392851961881,0.5659250373221761,0.044228072538285416,0.6121309392449927,https://www.vivino.com/bosquets-gigondas-la-colline/w/3887205?year=2018&price_id=29936543,https://images.vivino.com/thumbs/Sib6hSXhS6CVGWvybubRpQ_pb_x600.png,Domaine des Bosquets/Gigondas La Colline 2018,324
Cayuse Vineyards,En Chamberlin Vineyard Syrah 2007,미국,Walla Walla Valley,Red wine,Shiraz/Syrah,4.5,"₩380,000",380000.0,earthy,black fruit,0.7664744703619335,0.6767597424511937,0.22185536708840703,0.5904209716788712,https://www.vivino.com/cayuse-winery-en-chamberlin-vineyard-syrah/w/1150484?year=2007&price_id=23467319,https://images.vivino.com/thumbs/5tKbuD_5TO6AUIuw38aGZQ_pb_x600.png,Cayuse Vineyards/En Chamberlin Vineyard Syrah 2007,145
Carpineto,Brunello di Montalcino 2000,이탈리아,Brunello di Montalcino,Red wine,Sangiovese,4.5,"₩110,805",110805.0,earthy,oaky,0.5354594783419018,0.6444718230464621,0.09903107991412025,0.6923797104356839,https://www.vivino.com/carpineto-brunello-di-montalcino/w/6200?year=2000&price_id=2895284,https://images.vivino.com/thumbs/B7meX4agRZ-z1EVuteD1Cg_pb_x600.png,Carpineto/Brunello di Montalcino 2000,132
Alpha Box & Dice,Hercules 2014,호주,McLaren Vale,Red wine,Shiraz/Syrah,4.5,"₩130,000",130000.0,black fruit,oaky,0.9053824535300752,0.5150548742835835,0.6178707525569824,0.4607844317383889,https://www.vivino.com/alpha-box-and-dice-hercules/w/3347194?year=2014&price_id=29015847,https://images.vivino.com/thumbs/Bi5CTijZSQ-5-XjNobLBnA_150x200.jpg,Alpha Box & Dice/Hercules 2014,11
Cayuse Vineyards,En Chamberlin Vineyard Syrah 2008,미국,Walla Walla Valley,Red wine,Shiraz/Syrah,4.5,"₩380,000",380000.0,earthy,black fruit,0.7664744703619335,0.6767597424511937,0.22185536708840703,0.5904209716788712,https://www.vivino.com/cayuse-winery-en-chamberlin-vineyard-syrah/w/1150484?year=2008&price_id=23467320,https://images.vivino.com/thumbs/5tKbuD_5TO6AUIuw38aGZQ_pb_x600.png,Cayuse Vineyards/En Chamberlin Vineyard Syrah 2008,146
Alpha Box & Dice,Hercules 2018,호주,McLaren Vale,Red wine,Shiraz/Syrah,4.5,"₩130,000",130000.0,black fruit,oaky,0.9053824535300752,0.5150548742835835,0.6178707525569824,0.4607844317383889,https://www.vivino.com/alpha-box-and-dice-hercules/w/3347194?year=2018&price_id=29015849,https://images.vivino.com/thumbs/Bi5CTijZSQ-5-XjNobLBnA_150x200.jpg,Alpha Box & Dice/Hercules 2018,12
Stags' Leap,Cabernet Sauvignon 2015,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.4,"₩124,102",124102.0,oaky,black fruit,1.0,0.6063995189749922,0.1199195075382458,0.5699882970542013,https://www.vivino.com/stags-leap-cabernet-sauvignon/w/1136381?year=2015&price_id=17633369,https://images.vivino.com/thumbs/SmHEgH6iSvOv8IgSH5cdkw_pb_x600.png,Stags' Leap/Cabernet Sauvignon 2015,749
Chimney Rock,Cabernet Sauvignon 2012,미국,Stags Leap District,Red wine,Cabernet Sauvignon,4.4,"₩360,000",360000.0,oaky,black fruit,1.0,0.5727867175790765,0.07617213186186353,0.5656321262580667,https://www.vivino.com/chimney-rock-winery-cabernet-sauvignon/w/835?year=2012&price_id=25130678,https://images.vivino.com/thumbs/x9gLcGMXRTOwjoPHoSldGw_pb_x600.png,Chimney Rock/Cabernet Sauvignon 2012,167
Montes,Montes Alpha M Red 2006,칠레,Colchagua Valley,Red wine,Blend,4.4,"₩141,830",141830.0,oaky,black fruit,0.998754216849489,0.6772711262675907,0.232732940906174,0.4264299327916541,https://www.vivino.com/montes-montes-alpha-m-red/w/1664699?year=2006&price_id=2754226,https://images.vivino.com/thumbs/cR5PVxSPTQCFJIX5vWwvOQ_pb_x600.png,Montes/Montes Alpha M Red 2006,589
Clos Mogador,Priorat 2007,스페인,Priorat,Red wine,Grenache,4.4,"₩450,000",450000.0,oaky,black fruit,0.9823971473210034,0.5855654180746914,0.2892757262939401,0.5770782759888988,https://www.vivino.com/clos-mogador-priorat-priorat/w/2162093?year=2007&price_id=23466013,https://images.vivino.com/thumbs/rIJix1dzRpu7ghGEqvYj8g_pb_x600.png,Clos Mogador/Priorat 2007,261
Chimney Rock,Cabernet Sauvignon 2016,미국,Stags Leap District,Red wine,Cabernet Sauvignon,4.4,"₩360,000",360000.0,oaky,black fruit,1.0,0.5727867175790765,0.07617213186186353,0.5656321262580667,https://www.vivino.com/chimney-rock-winery-cabernet-sauvignon/w/835?year=2016&price_id=25130682,https://images.vivino.com/thumbs/x9gLcGMXRTOwjoPHoSldGw_pb_x600.png,Chimney Rock/Cabernet Sauvignon 2016,171
Teeter-Totter,Cabernet Sauvignon 2018,미국,Napa Valley,Red wine,Cabernet Sauvignon,4.4,"₩200,000",200000.0,oaky,black fruit,0.9873524553247617,0.5786831056177059,0.22772791012731436,0.5318821680543017,https://www.vivino.com/teeter-totter-cabernet-sauvignon/w/1976866?year=2018&price_id=23467563,https://images.vivino.com/thumbs/7GzeWg_BTn6yUzYj98A_gg_pb_x600.png,Teeter-Totter/Cabernet Sauvignon 2018,782
